,user_id,movie_id,rating,movie_title
0,307,0,4,Toy Story
1,250,99,4,Fargo
2,24,180,5,Return of the Jedi
3,19,287,1,Scream
4,31,293,3,Liar Liar
5,43,293,4,Liar Liar
6,25,257,3,Contact
7,193,180,3,Return of the Jedi
8,65,257,4,Contact
9,206,257,4,Contact
10,190,285,4,"English Patient, The"
11,133,285,3,"English Patient, The"
12,286,0,5,Toy Story
13,285,287,5,Scream
14,289,49,5,Star Wars
15,263,293,3,Liar Liar
16,230,180,4,Return of the Jedi
17,55,120,5,Independence Day
18,297,180,4,Return of the Jedi
19,9,99,5,Fargo
20,244,180,4,Return of the Jedi
21,180,120,4,Independence Day
22,275,180,5,Return of the Jedi
23,266,120,3,Independence Day
24,125,293,3,Liar Liar
25,36,287,4,Scream
26,89,257,3,Contact
27,107,99,4,Fargo
28,91,120,5,Independence Day
29,253,120,3,Independence Day
30,275,293,4,Liar Liar
31,78,49,4,Star Wars
32,5,257,2,Contact
33,149,180,5,Return of the Jedi
34,147,0,4,Toy Story
35,279,0,4,Toy Story
36,197,257,4,Contact
37,83,120,4,Independence Day
38,12,180,5,Return of the Jedi
39,1,49,5,Star Wars
40,7,49,5,Star Wars
41,62,99,5,Fargo
42,273,49,5,Star Wars
43,65,180,5,Return of the Jedi
44,43,257,4,Contact
45,22,257,5,Contact
46,311,99,4,Fargo
47,116,180,5,Return of the Jedi
48,140,257,5,Contact
49,65,0,3,Toy Story
50,4,0,4,Toy Story
51,108,0,4,Toy Story
52,226,49,4,Star Wars
53,180,0,3,Toy Story
54,103,299,3,Air Force One
55,12,120,5,Independence Day
56,61,287,2,Scream
57,21,257,5,Contact
58,64,99,3,Fargo
59,94,0,5,Toy Story
60,108,257,5,Contact
61,281,287,4,Scream
62,251,299,4,Air Force One
63,196,299,4,Air Force One
64,286,293,5,Liar Liar
65,164,287,2,Scream
66,194,299,3,Air Force One
67,98,49,5,Star Wars
68,261,120,3,Independence Day
69,78,99,5,Fargo
70,304,49,5,Star Wars
71,24,257,5,Contact
72,175,257,4,Contact
73,57,99,5,Fargo
74,267,0,3,Toy Story
75,198,257,4,Contact
76,102,120,3,Independence Day
77,136,299,5,Air Force One
78,212,293,3,Liar Liar
79,202,180,5,Return of the Jedi
80,197,99,1,Fargo
81,126,293,4,Liar Liar
82,311,120,3,Independence Day
83,61,257,5,Contact
84,107,49,4,Star Wars
85,183,180,4,Return of the Jedi
86,58,285,3,"English Patient, The"
87,11,299,4,Air Force One
88,257,287,1,Scream
